cycle,tool,x_mm,y_mm,run_id,duration_sec
1,0,0.0,0.0,run_1788696349,165.3
1,1,-0.166,-0.274,run_1788696349,165.3
1,2,0.872,0.27,run_1788696349,165.3
1,3,0.351,0.536,run_1788696349,165.3
1,4,0.15,0.214,run_1788696349,165.3
2,0,0.0,0.0,run_1788696539,172.22
2,1,-0.159,-0.287,run_1788696539,172.22
2,2,0.886,0.266,run_1788696539,172.22
2,3,0.369,0.527,run_1788696539,172.22
2,4,0.173,0.225,run_1788696539,172.22
3,0,0.0,0.0,run_1788696733,171.77
3,1,-0.157,-0.296,run_1788696733,171.77
3,2,0.891,0.256,run_1788696733,171.77
3,3,0.377,0.529,run_1788696733,171.77
3,4,0.163,0.192,run_1788696733,171.77
